,DISTRITO,geometry,provDist,DEPARTAMENTO,PROVINCIA,Zona,Latitud,Longitud,cobertura_cell,no_cobertura_cell,Educ_sec_comp,Educ_sec_no_comp,esp_vid_nacer,Ing_fam_p_cap,NBI_2017,NBI_2017_c,Pobreza,No_Pobreza,Ing_fam_p_cap_N,w_NBI_2017_c,z_NBI_2017_c,z_w_NBI_2017_c,lisaNBI,CuadrantesNBI,SigNBI,SpotsNBI
1784,TIGRE,POINT (-74.6903 -3.5503),LORETO+TIGRE,LORETO,LORETO,X,-3.5503,-74.6903,10.204081632653057,89.79591836734694,28.550380563766968,71.44961943623304,71.76510532636192,401.4962865814614,69.5,30.5,50.836792,49.163208,17.642410890004342,17.074999999999996,-1.6891518596761044,-3.4241493606920756,4.092599690188782,Q3,significativo,3 coldSpot
1785,NAPO,POINT (-73.6806 -2.4936),MAYNAS+NAPO,LORETO,MAYNAS,ZG,-2.4936,-73.6806,4.444444444444443,95.55555555555556,23.381946075685654,76.61805392431435,74.04582970440016,366.45068660896345,84.2,15.799999999999997,48.190349999999995,51.809650000000005,15.878003424177995,29.262500000000003,-2.4925555313489287,-2.5012973642503953,4.378884996759793,Q3,significativo,3 coldSpot
1786,YAGUAS,POINT (-71.1836 -2.4114),PUTUMAYO+YAGUAS,LORETO,MAYNAS,ZG,-2.4114,-71.1836,0.0,100.0,27.25114431224937,72.74885568775063,76.62827220555434,1181.8786331064473,66.4,33.599999999999994,60.889179,39.110821,56.93157813177797,38.81249999999999,-1.5197265955818358,-1.7781600049873771,1.876628629835927,Q3,significativo,3 coldSpot
1787,TORRES CAUSANA,POINT (-75.1814 -0.9642),MAYNAS+TORRES CAUSANA,LORETO,MAYNAS,ZG,-0.9642,-75.1814,0.0,100.0,13.895067946151075,86.10493205384893,73.89603564952745,249.78261979346584,92.2,7.799999999999997,47.903467000000006,52.096532999999994,10.00422730750908,25.7125,-2.9297820193341386,-2.7701075868036646,5.715432199531048,Q3,significativo,3 coldSpot
1788,TENIENTE MANUEL CLAVERO,POINT (-74.6753 -0.3783),PUTUMAYO+TENIENTE MANUEL CLAVERO,LORETO,MAYNAS,ZG,-0.3783,-74.6753,2.631578947368425,97.36842105263158,17.24415430548483,82.75584569451517,76.59623971947326,432.59484020729093,78.0,22.0,42.368012,57.631988,19.20810017016717,23.937499999999996,-2.1537050031603906,-2.904512698080299,4.4103877162996055,Q3,significativo,3 coldSpot
1790,PUTUMAYO,POINT (-72.6556 -2.4497),PUTUMAYO+PUTUMAYO,LORETO,MAYNAS,ZG,-2.4497,-72.6556,3.448275862068968,96.55172413793103,34.90340702066674,65.09659297933325,75.81917201781495,826.3926670072788,53.6,46.4,39.50526,60.49474,39.034264543935905,41.3125,-0.8201642148054991,-1.5888570313583141,0.9007149491204872,Q3,significativo,3 coldSpot
1791,ROSA PANDURO,POINT (-73.4078 -1.7964),PUTUMAYO+ROSA PANDURO,LORETO,MAYNAS,ZG,-1.7964,-73.4078,0.0,100.0,12.839036581747369,87.16096341825263,78.31693461144081,725.6052954216022,73.4,26.599999999999994,37.402503,62.597497,33.960018674944244,27.912500000000005,-1.9022997725688948,-2.6035209700100888,3.4822877620456545,Q3,significativo,3 coldSpot
1792,CANAYRE,POINT (-73.2939 -15.1631),HUANTA+CANAYRE,AYACUCHO,HUANTA,ZG,-15.1631,-73.2939,40.0,60.0,52.712328456246325,47.287671543753675,73.47276298195827,437.01053734935164,75.8,24.200000000000003,43.483245,56.516755,19.430413071370005,39.725,-2.033467718964457,-1.7090644196127687,2.409608543915668,Q3,significativo,3 coldSpot
1801,NESHUYA,POINT (-74.9644 -8.6392),PADRE ABAD+NESHUYA,UCAYALI,PADRE ABAD,X,-8.6392,-74.9644,20.689655172413794,79.3103448275862,45.8834274326626,54.1165725673374,82.51053870089717,697.9074759093293,60.7,39.3,11.946856999999998,88.053143,32.565542918418004,43.724999999999994,-1.2082027228923733,-1.4061796618062692,1.1675609843080523,Q3,significativo,3 coldSpot
1802,ALEXANDER VON HUMBOLDT,POINT (-75.0522 -8.8264),PADRE ABAD+ALEXANDER VON HUMBOLDT,UCAYALI,PADRE ABAD,X,-8.8264,-75.0522,78.57142857142857,21.42857142857143,43.11969663952387,56.88030336047613,83.85372007145196,662.652378856777,55.0,45.0,12.899559999999997,87.10044,30.79058810249902,44.1875,-0.8966788502029108,-1.3711586116848922,0.8438507157045215,Q3,significativo,3 coldSpot
1804,VIZCATAN DEL ENE,POINT (-74.0158 -12.2153),SATIPO+VIZCATAN DEL ENE,JUNIN,SATIPO,ZG,-12.2153,-74.0158,2.941176470588232,97.05882352941177,53.43768284350669,46.56231715649331,77.18666152342945,497.96826162653053,89.0,11.0,28.28469,71.71531,22.49939359670961,42.0,-2.7548914241400544,-1.5367987136103218,2.9219446879407696,Q3,significativo,3 coldSpot
1805,VILLA KINTIARINA,POINT (-71.5714 -14.035),LA CONVENCION+VILLA KINTIARINA,CUSCO,LA CONVENCION,X,-14.035,-71.5714,11.111111111111114,88.88888888888889,52.48645366336475,47.51354633663525,72.53771400927565,349.12109125392556,76.2,23.799999999999997,41.338265,58.661735,15.005526780942512,44.0,-2.0553290433637184,-1.3853563347070719,1.9553006208025232,Q3,significativo,3 coldSpot
1807,LA MORADA,POINT (-76.2497 -8.7933),MARANON+LA MORADA,HUANUCO,MARAÑON,X,-8.7933,-76.2497,12.5,87.5,52.35097110610642,47.64902889389358,69.69177354792248,790.5380840726359,67.0,33.0,29.27597,70.72403,37.2291279828949,44.212500000000006,-1.5525185821807264,-1.369265581948601,1.4589301733990576,Q3,significativo,3 coldSpot
1811,PUCAYACU,POINT (-76.1253 -8.7492),LEONCIO PRADO+PUCAYACU,HUANUCO,LEONCIO PRADO,X,-8.7492,-76.1253,14.285714285714292,85.71428571428571,28.716001301217947,71.28399869878206,70.03323242660845,553.2115225688121,70.7,29.299999999999997,23.72049,76.27951,25.280673475485994,43.0125,-1.7547358328738862,-1.4601310092905513,1.764039978878601,Q3,significativo,3 coldSpot
1813,PUEBLO NUEVO,POINT (-76.0714 -9.0089),LEONCIO PRADO+PUEBLO NUEVO,HUANUCO,LEONCIO PRADO,X,-9.0089,-76.0714,34.61538461538461,65.38461538461539,51.97959729207806,48.02040270792194,72.18805630075194,694.6457382215672,56.8,43.2,18.991424000000002,81.008576,32.40132731553573,47.4375,-0.995054809999583,-1.1250647459671108,0.7596859429409659,Q3,significativo,3 coldSpot
1815,ROBLE,POINT (-74.49 -12.2169),TAYACAJA+ROBLE,HUANCAVELICA,TAYACAJA,ZG,-12.2169,-74.49,2.631578947368425,97.36842105263158,45.26061014720086,54.73938985279914,60.35163835880974,682.0626894219969,50.0,50.0,53.72067200000001,46.27932799999999,31.767820534021315,44.675,-0.6234122952121544,-1.3342445318272251,0.5700738725395431,Q3,significativo,3 coldSpot
1823,MEGANTONI,POINT (-72.0425 -13.4969),LA CONVENCION+MEGANTONI,CUSCO,LA CONVENCION,X,-13.4969,-72.0425,3.448275862068968,96.55172413793103,51.07437987895108,48.92562012104892,76.1919279040275,1158.5532505708957,47.1,52.9,33.569166,66.430834,55.75723729808474,48.05,-0.46491769331751576,-1.0786855174279908,0.33938352427459473,Q3,significativo,3 coldSpot
